hybridId,arousal,arousalScale
1,70.7428571429,punchy
2,56.3714285714,groovy
3,51.3428571429,chill
4,70.3428571429,punchy
5,73.5714285714,punchy
6,70.3142857143,punchy
7,57.8571428571,groovy
8,59.028571428599996,groovy
9,57.685714285699994,groovy
10,71.22857142859999,punchy
11,67.0,punchy
12,64.7142857143,punchy
13,51.1428571429,chill
14,50.8285714286,chill
15,67.3142857143,punchy
16,48.2285714286,chill
17,72.1428571429,punchy
18,69.0,punchy
19,63.4571428571,groovy
20,66.8571428571,punchy
21,30.971428571399997,chill
22,60.285714285699996,groovy
23,51.7428571429,chill
24,46.6285714286,chill
25,76.9714285714,punchy
26,41.1428571429,chill
27,58.571428571400006,groovy
28,70.88571428569999,punchy
29,62.314285714300006,groovy
30,58.7714285714,groovy
31,50.571428571400006,chill
32,42.0,chill
33,62.5428571429,groovy
34,70.77142857140001,punchy
35,62.8285714286,groovy
36,54.8571428571,groovy
37,59.0,groovy
38,69.6857142857,punchy
39,69.7428571429,punchy
40,58.8,groovy
41,56.8285714286,groovy
42,64.7142857143,punchy
43,66.9428571429,punchy
44,44.571428571400006,chill
45,55.5428571429,groovy
46,69.4857142857,punchy
47,69.9714285714,punchy
48,41.1714285714,chill
49,54.028571428599996,groovy
50,59.028571428599996,groovy
51,70.7142857143,punchy
52,69.3714285714,punchy
53,67.0,punchy
54,50.2,chill
55,75.1428571429,punchy
56,40.6857142857,chill
57,47.428571428599994,chill
58,52.285714285699996,chill
59,57.714285714300004,groovy
60,39.3428571429,chill
61,45.0571428571,chill
62,41.9714285714,chill
63,54.028571428599996,groovy
64,81.9714285714,punchy
65,45.9142857143,chill
66,77.3142857143,punchy
67,52.2285714286,chill
68,82.3714285714,punchy
69,44.3428571429,chill
70,67.4857142857,punchy
71,57.1142857143,groovy
72,61.0571428571,groovy
73,74.0285714286,punchy
74,71.3428571429,punchy
75,64.88571428569999,punchy
76,52.8285714286,chill
77,54.3714285714,groovy
78,60.971428571400004,groovy
79,70.3428571429,punchy
80,41.7428571429,chill
81,47.1714285714,chill
82,62.714285714300004,groovy
83,55.6285714286,groovy
84,53.0857142857,groovy
85,66.5142857143,punchy
86,40.4857142857,chill
87,66.6857142857,punchy
88,50.8285714286,chill
89,64.08571428569999,punchy
90,58.5142857143,groovy
91,62.714285714300004,groovy
92,62.5428571429,groovy
93,67.8571428571,punchy
94,72.3142857143,punchy
95,65.7142857143,punchy
96,62.2285714286,groovy
97,60.1428571429,groovy
98,53.2285714286,groovy
99,66.6857142857,punchy
100,68.77142857140001,punchy
101,65.8571428571,punchy
102,65.3428571429,punchy
103,62.3714285714,groovy
104,60.4857142857,groovy
105,55.1714285714,groovy
106,42.7428571429,chill
107,49.0571428571,chill
108,71.11428571430001,punchy
109,52.8,chill
110,61.2285714286,groovy
111,58.971428571400004,groovy
112,73.08571428569999,punchy
113,63.3714285714,groovy
114,59.6571428571,groovy
115,45.4571428571,chill
116,56.714285714300004,groovy
117,60.5142857143,groovy
118,67.08571428569999,punchy
119,63.1428571429,groovy
120,64.77142857140001,punchy
121,63.4,groovy
122,59.2,groovy
123,72.0571428571,punchy
124,59.0857142857,groovy
125,47.5428571429,chill
126,58.9428571429,groovy
127,64.08571428569999,punchy
128,56.2,groovy
129,47.8,chill
130,68.08571428569999,punchy
131,61.714285714300004,groovy
132,42.371428571399996,chill
133,48.9142857143,chill
134,41.0,chill
135,67.91428571430001,punchy
136,69.4,punchy
137,43.8571428571,chill
138,46.028571428599996,chill
139,70.0285714286,punchy
140,58.7428571429,groovy
141,69.4285714286,punchy
142,51.8285714286,chill
143,55.9142857143,groovy
144,71.0571428571,punchy
145,66.1428571429,punchy
146,55.7428571429,groovy
147,60.285714285699996,groovy
148,47.685714285699994,chill
149,55.2285714286,groovy
150,63.2,groovy
151,63.0571428571,groovy
152,56.0,groovy
153,51.428571428599994,chill
154,53.9142857143,groovy
155,55.3428571429,groovy
156,58.8,groovy
157,51.3714285714,chill
158,63.314285714300006,groovy
159,72.4,punchy
160,60.5142857143,groovy
161,58.7428571429,groovy
162,67.8571428571,punchy
163,52.4857142857,chill
164,56.285714285699996,groovy
165,50.5428571429,chill
166,45.428571428599994,chill
167,67.91428571430001,punchy
168,49.1714285714,chill
169,67.3428571429,punchy
170,60.1714285714,groovy
171,52.6285714286,chill
172,53.9142857143,groovy
173,57.6,groovy
174,65.8,punchy
175,56.5428571429,groovy
176,50.971428571400004,chill
177,50.8857142857,chill
178,67.5714285714,punchy
179,56.0,groovy
180,65.88571428569999,punchy
181,58.714285714300004,groovy
182,50.028571428599996,chill
183,70.5714285714,punchy
184,62.5428571429,groovy
185,63.7714285714,groovy
186,52.6285714286,chill
187,52.4857142857,chill
188,56.971428571400004,groovy
189,57.714285714300004,groovy
190,54.8571428571,groovy
191,73.9428571429,punchy
192,40.0285714286,chill
193,60.6,groovy
194,73.6285714286,punchy
195,49.8857142857,chill
196,74.3428571429,punchy
197,64.91428571430001,punchy
198,63.285714285699996,groovy
199,69.3714285714,punchy
200,52.314285714300006,chill
201,44.1714285714,chill
202,45.2285714286,chill
203,69.0285714286,punchy
204,72.6857142857,punchy
205,68.2857142857,punchy
206,56.5142857143,groovy
207,51.9142857143,chill
208,73.0,punchy
209,75.8,punchy
210,62.8285714286,groovy
211,51.685714285699994,chill
212,64.3428571429,punchy
213,66.77142857140001,punchy
214,50.8285714286,chill
215,63.028571428599996,groovy
216,66.2571428571,punchy
217,59.1142857143,groovy
218,57.285714285699996,groovy
219,62.5142857143,groovy
220,74.6857142857,punchy
221,64.4857142857,punchy
222,54.8,groovy
223,43.1142857143,chill
224,65.88571428569999,punchy
225,76.8285714286,punchy
226,45.7714285714,chill
227,60.314285714300006,groovy
228,61.3714285714,groovy
229,43.7714285714,chill
230,50.4857142857,chill
231,41.4285714286,chill
232,38.4857142857,chill
233,70.1428571429,punchy
234,56.3428571429,groovy
235,69.5714285714,punchy
236,62.8,groovy
237,64.1428571429,punchy
238,66.3714285714,punchy
239,38.628571428600004,chill
240,52.9142857143,chill
241,48.7714285714,chill
242,53.5428571429,groovy
